frame,y_norm,action,green_area,edge_penalty,death,reward
94,0.43,1,159.5,False,False,0.08
95,0.3616666666666667,1,158.5,False,False,0.08
96,0.255,0,157.0,False,False,0.065
97,0.21833333333333332,0,157.0,False,False,0.08
98,0.20666666666666667,0,160.5,False,False,0.08
99,0.21166666666666667,0,164.5,False,False,0.08
100,0.23333333333333334,0,155.0,False,False,0.08
101,0.2733333333333333,0,159.5,False,False,0.08
102,0.33166666666666667,0,149.0,False,False,0.08
103,0.405,0,159.5,False,False,0.08
104,0.5066666666666667,1,155.5,False,False,0.065
105,0.5333333333333333,1,147.0,False,False,0.08
106,0.5316666666666666,1,161.5,False,False,0.08
107,0.505,1,157.0,False,False,0.08
108,0.4583333333333333,1,163.0,False,False,0.08
109,0.4266666666666667,0,158.0,False,False,0.065
110,0.36833333333333335,0,156.0,False,False,0.08
111,0.37166666666666665,0,158.0,False,False,0.08
112,0.39,0,159.5,False,False,0.08
113,0.4266666666666667,0,152.0,False,False,0.08
114,0.4816666666666667,0,157.5,False,False,0.08
115,0.5583333333333333,1,159.0,False,False,0.065
116,0.61,1,152.5,False,False,0.08
117,0.555,1,154.5,False,False,0.08
118,0.525,0,156.0,False,False,0.065
119,0.53,0,160.5,False,False,0.08
120,0.5533333333333333,0,160.0,False,False,0.08
121,0.5933333333333334,0,159.5,False,False,0.08
122,0.6483333333333333,1,157.0,False,False,0.065
123,0.6466666666666666,1,162.0,False,False,0.08
124,0.6183333333333333,1,160.0,False,False,0.08
125,0.575,0,160.0,False,False,0.065
126,0.5733333333333334,0,161.0,False,False,0.08
127,0.5883333333333334,0,161.0,False,False,0.08
128,0.6216666666666667,0,158.5,False,False,0.08
129,0.6633333333333333,1,156.0,False,False,0.065
130,0.655,1,155.5,False,False,0.08
131,0.62,1,152.0,False,False,0.08
132,0.5666666666666667,1,158.0,False,False,0.08
133,0.5266666666666666,1,151.5,False,False,0.08
134,0.3933333333333333,1,152.0,False,False,0.08
135,0.29333333333333333,0,148.5,False,False,0.065
136,0.21,0,156.5,False,False,0.08
137,0.22333333333333333,0,147.5,False,False,0.08
138,0.5,1,0.0,False,False,0.0
139,0.5,1,0.0,False,False,0.0
140,0.22333333333333333,1,0.0,False,True,-5.0
0,0.44333333333333336,1,1677.0,False,False,0.065
1,0.44333333333333336,1,1677.0,False,False,0.08
2,0.44333333333333336,1,1677.0,False,False,0.08
3,0.44333333333333336,0,1677.0,False,False,0.065
4,0.44333333333333336,0,1677.0,False,False,0.08
5,0.3333333333333333,0,1842.5,False,False,0.08
6,0.295,0,753.0,False,False,0.08
7,0.30833333333333335,0,663.5,False,False,0.08
8,0.3566666666666667,0,146.5,False,False,0.08
9,0.5,0,0.0,False,False,0.08
10,0.44666666666666666,0,160.0,False,False,0.0
11,0.545,0,157.5,False,False,0.08
12,0.6933333333333334,1,149.5,False,False,0.065
13,0.68,1,156.0,False,False,0.08
14,0.675,1,159.5,False,False,0.08
15,0.67,0,157.5,False,False,0.065
16,0.69,0,162.0,False,False,0.08
17,0.7266666666666667,0,161.5,False,False,0.08
18,0.7633333333333333,1,158.5,False,False,0.065
19,0.75,1,161.0,False,False,0.08
20,0.7116666666666667,1,159.0,False,False,0.08
21,0.67,0,157.0,False,False,0.065
22,0.6666666666666666,0,158.0,False,False,0.08
23,0.6833333333333333,0,154.0,False,False,0.08
24,0.6833333333333333,1,164.5,False,False,0.065
25,0.65,1,161.0,False,False,0.08
26,0.5983333333333334,1,159.0,False,False,0.08
27,0.5283333333333333,0,160.5,False,False,0.065
28,0.515,0,157.0,False,False,0.08
29,0.5166666666666667,0,158.0,False,False,0.08
30,0.5383333333333333,0,157.0,False,False,0.08
31,0.5783333333333334,0,155.0,False,False,0.08
32,0.615,1,157.0,False,False,0.065
33,0.6466666666666666,1,152.5,False,False,0.08
34,0.5666666666666667,1,156.5,False,False,0.08
