episode,timesteps,time_alive,ep_length,reward,best_reward,best_ep_length,lat_scale_2,lat_scale_3,lat_scale_fc,train/loss,train/learning_rate,rollout/exploration_rate
26,240,1.5323487999849021,3,-4.949999999254942,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9960963333333331
27,248,1.664595700101927,8,-4.779999997466803,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9959656666666663
28,262,1.9986904999241233,14,-4.479999992996454,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9957370000000003
29,272,2.3303462001495063,10,-4.799999998882413,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9955736666666667
30,290,3.2638877001591027,18,-4.649999998509884,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9952796666666669
31,292,1.5486858999356627,2,-5.0,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9952470000000001
32,294,1.53104960010387,2,-5.0,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9952143333333332
33,322,4.3133410001173615,28,-4.179999992251396,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9947569999999998
34,324,1.5476846999954432,2,-5.0,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9947243333333335
35,326,1.5349765999708325,2,-5.0,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9946916666666668
36,332,1.611748999916017,6,-4.879999998956919,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9945936666666668
37,342,2.0149198002181947,10,-4.759999997913837,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9944303333333331
38,352,2.131321100052446,10,-4.839999999850988,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9942670000000001
39,366,2.563928100047633,14,-4.72999999858439,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9940383333333335
40,381,2.180262800073251,15,-4.51999999396503,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9937933333333333
41,400,3.113870000001043,19,-4.479999994859099,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9934830000000001
42,414,2.6139233000576496,14,-4.72999999858439,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9932543333333334
43,416,1.5487404000014067,2,-5.0,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9932216666666666
